Source Name,Sample Name,Characteristics: Organism,Characteristics: Strain,Factor Value: Genotype,Characteristics: developmental stage,Characteristics: Material Type,Factor Value: Spaceflight,Factor Value: Generation,Factor Value: Altered Gravity,Characteristics: Experiment,Protocol REF,Parameter Value: duration,Parameter Value: Growth Temperature,Parameter Value: Sample Media Information,Parameter Value: Sample Storage Temperature
A1: N2_1st_uG1,GSM5284006,Caenorhabditis elegans,N2,Wild Type,adult,Whole Organism,Space Flight,1st generation,uG,Experiment 1,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
B1: N2_1st_uG2,GSM5284007,Caenorhabditis elegans,N2,Wild Type,adult,Whole Organism,Space Flight,1st generation,uG,Experiment 2,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
C1: hda4_1st_uG1,GSM5284008,Caenorhabditis elegans,RB756,hda-4 (ok518) mutant,adult,Whole Organism,Space Flight,1st generation,uG,Experiment 1,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
D1: hda4_1st_uG 2,GSM5284009,Caenorhabditis elegans,RB756,hda-4 (ok518) mutant,adult,Whole Organism,Space Flight,1st generation,uG,Experiment 2,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
E1: sir2.1_1st_uG1,GSM5284010,Caenorhabditis elegans,VC199,sir-2.1 (ok434) mutant,adult,Whole Organism,Space Flight,1st generation,uG,Experiment 1,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
F1: sir2.1_1st_uG 2,GSM5284011,Caenorhabditis elegans,VC199,sir-2.1 (ok434) mutant,adult,Whole Organism,Space Flight,1st generation,uG,Experiment 2,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
G1: N2_1st_1G1,GSM5284012,Caenorhabditis elegans,N2,Wild Type,adult,Whole Organism,Space Flight,1st generation,1G in CBEF,Experiment 1,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
H1: N2_1st_1G2,GSM5284013,Caenorhabditis elegans,N2,Wild Type,adult,Whole Organism,Space Flight,1st generation,1G in CBEF,Experiment 2,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
J1: hda4_1st_1G 1,GSM5284014,Caenorhabditis elegans,RB756,hda-4 (ok518) mutant,adult,Whole Organism,Space Flight,1st generation,1G in CBEF,Experiment 1,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
K1: hda4_1st_1G 2,GSM5284015,Caenorhabditis elegans,RB756,hda-4 (ok518) mutant,adult,Whole Organism,Space Flight,1st generation,1G in CBEF,Experiment 2,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
L1: sir2.1_1st_1G 1,GSM5284016,Caenorhabditis elegans,VC199,sir-2.1 (ok434) mutant,adult,Whole Organism,Space Flight,1st generation,1G in CBEF,Experiment 1,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
M1: sir2.1_1st_1G 2,GSM5284017,Caenorhabditis elegans,VC199,sir-2.1 (ok434) mutant,adult,Whole Organism,Space Flight,1st generation,1G in CBEF,Experiment 2,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
A2: N2_2nd_uG1,GSM5284018,Caenorhabditis elegans,N2,Wild Type,adult,Whole Organism,Space Flight,2nd generation,uG,Experiment 1,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
B2 : N2_2nd_uG2,GSM5284019,Caenorhabditis elegans,N2,Wild Type,adult,Whole Organism,Space Flight,2nd generation,uG,Experiment 2,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
C2: hda4_2nd_uG 1,GSM5284020,Caenorhabditis elegans,RB756,hda-4 (ok518) mutant,adult,Whole Organism,Space Flight,2nd generation,uG,Experiment 1,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
D2: hda4_2nd_uG 2,GSM5284021,Caenorhabditis elegans,RB756,hda-4 (ok518) mutant,adult,Whole Organism,Space Flight,2nd generation,uG,Experiment 2,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
E2: sir2.1_2nd_uG 1,GSM5284022,Caenorhabditis elegans,VC199,sir-2.1 (ok434) mutant,adult,Whole Organism,Space Flight,2nd generation,uG,Experiment 1,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
F2: sir2.1_2nd_uG 2,GSM5284023,Caenorhabditis elegans,VC199,sir-2.1 (ok434) mutant,adult,Whole Organism,Space Flight,2nd generation,uG,Experiment 2,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
G2: N2_2nd_1G1,GSM5284024,Caenorhabditis elegans,N2,Wild Type,adult,Whole Organism,Space Flight,2nd generation,1G in CBEF,Experiment 1,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
H2: N2_2nd_1G2,GSM5284025,Caenorhabditis elegans,N2,Wild Type,adult,Whole Organism,Space Flight,2nd generation,1G in CBEF,Experiment 2,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
J2: hda4_2nd_1G 1,GSM5284026,Caenorhabditis elegans,RB756,hda-4 (ok518) mutant,adult,Whole Organism,Space Flight,2nd generation,1G in CBEF,Experiment 1,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
K2: hda4_2nd_1G 2,GSM5284027,Caenorhabditis elegans,RB756,hda-4 (ok518) mutant,adult,Whole Organism,Space Flight,2nd generation,1G in CBEF,Experiment 2,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
L2: sir2.1_2nd_1G 1,GSM5284028,Caenorhabditis elegans,VC199,sir-2.1 (ok434) mutant,adult,Whole Organism,Space Flight,2nd generation,1G in CBEF,Experiment 1,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
M2: sir2.1_2nd_1G 2,GSM5284029,Caenorhabditis elegans,VC199,sir-2.1 (ok434) mutant,adult,Whole Organism,Space Flight,2nd generation,1G in CBEF,Experiment 2,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
A3: N2_3rd_uG1,GSM5284030,Caenorhabditis elegans,N2,Wild Type,adult,Whole Organism,Space Flight,3rd generation,uG,Experiment 1,sample collection,4 day,20 degree Celsius,E. coli OP50 in S-basal medium,-95 degree Celsius
